text,y_true,y_proba,y_pred_threshold
"everything is fine about the product, light weight, good air blower and good heating, most important price is good,best you can in this winter without doubt go for it,thanks amazon for this heater,built quality as per description,haneul brand same as mentioned,amazing product at amazing price, work as per the description, same brand received build quality is also superb, great for winter pocket freindly as compare to other brand, recommended,it is good product,weight and heating process so easy and movable,value for money and quality is also good.,i am not satisfied because product bilt quality poor and use that  on heter semll very iterating,high consumption electric",0,0.7277712662282243,1
"comfortable keys and smooth typing,good,average,ok,,nothing to say...,good,so the space bar was just horrible, zero response from both side of the key and had to press hard in the center part as well, and the minus key on the numpad was not working at all, you just can't use a keyboard with a space bar like this.",0,0.3931178797971055,1
"if you are buying this as a secondary cooking appliance  or you need a portable stove, go for this.also buy thin induction compatible utensils. it takes a very long time for thick vessels to heat up before you can start cooking.as a primary cooking appliance, this doesn't suit as it's very time consuming. can be used for keeping things hot or slow boiling milk etc.also had to request a warranty repair. the request was served within 2 days. the contact information is present on the warranty card.,just received it. though the product looks new, there are few scratches here and there making me unhappy.compared its performance with other induction cook top that i have (with same amount of water at same temperature in the same vessel).sadly this cook top is a tad slow to boil compared to the old one.but, i think that is okay, because the old one which i have is rs. 1000 more than this one.,product good but its take long time to cooldown,कमाल का प्रॉडक्ट हे,good,value for money,good product.easy to operate,value for money..",0,0.571868032632534,1
"the 1st product i got was damaged then i request for replacement and their pain strated after 5 days of continuing follow up my product got replaced. amazon delivery guys are too rude these days.. and no wonder customer care will give the generic sop reply.. but anyways now product got delivered and it's good.. but feel like over expensive colour and quality is average.,i like this product but i dislike outer steel makes very very hot 🔥 after full charged,only disappointed with the cord length.,lovely productsturdynice colorissue is, if your house has 🐜... water filtering holes are big enough. i've to dispense leftover water everyday & wash the pot, before heating.,in 3 months it stops working and service center almost close in pune so i am very frusteted by this product. bad service by prestige so never go for this product.,very good product,medium type,the fiber or plastic handle becomes hot, so does the outer body. difficult to handle immediately after heating. it is easy to clean. cord length is medium but enough to keep the kettle at 4 m height above ground when kept vertically in line with electric switch.",0,0.3567272666666058,1
"it's been just a week ... so yet to know the performance overall but till date it's working fine,good,good quality,battery capacity is very poor of power,product is fine but i was disappointed by seeing made in china lable on png version. also seller sent lpg model first instead of png so check your model once received. product is working fine.,https://m.media-amazon.com/images/i/61sxpcsn4pl._sy88.jpg,,product seems to be working fine till now but very very poor service by bajaj serviceman.he came and just hanged the geyser on wall and said his work was limited to that only.we had to call another technician on our own to complete the installation, and do the plumbing work.even pipes, cells did not come with the geyser and were sold by bajaj serviceman separately.0 marks to bajaj for service.",0,0.7186948967735163,1
"overall heater is good but it's size is small but it can make small area heat within few seconds,,power cord length ..very very short, and function knobs have no written marking of the functions.,material used is not of a good quality. no after sell service available at my location.,this room heater is portable and quiet efficient. it warms my room perfectly. it was really a good deal.,it is very useful and easy to handle,sufficient heat is blowing with air, very nice product in this price, best to use for single person in office and home also not making noise like other products.,i like it",0,0.3978257822863875,1
"nice 👍,the one thing i liked is its work very well and is really easy to install... but i did expected it to be little more big but the size is small,spares difficult to buy,cheap and good pure it,the filteration speed is slow. don't go for it if you are a family.,installation is a bit tricky but can be done .this varient is fit for a family of 2-3 people only.it takes time to pour water in the filter.... overall fine product,this filter is very small for 1 person,",0,0.7563478881614384,1
"it is very beautiful looking and appears imported good for placing at one spot on office table etc. and not to be moved. it is very light so easily tumbles down. wire cord is very short. heating is good. it is not strong and sturdy but made of plastic outerbody which will break if it falls down.,more than a week,im using this product.pros:compact,easy to use,portable,good built quality.cons:light weight,no manual control over saftey switch,takes time to heat a small room,small cable length.conclusion:if you are looking for a gud luking compact heater you can buy it.if you are expecting high skip it.,i like the product design & quality..i'm using in my room.. it takes 15 to20 min to reduce the room temperature... i will recommend this product..,the only positive about this device is its price. otherwise, all it has is negative.the heater is very light weight, but that's a negative coz it's too light to trust it to work safely. a device working at such high temperature require some weight to have stability so that weay feel confident that it won't topple. the manufacture has given a safe switch at the bottom of the device, but the device remains at high temp for sometime even after being off.the material body material feels very cheap and doesn't give confidence that it would last long though the ptc heating element may last long.there is nothing to prevent entry of dust and fiber into the heater, that may lead to a fire in the long run if fibres accumuulate inside.also, without any dust filter the heating plates will get blocked very very soon.the switch on the backside to switch off and on also appears to be of the cheapest quality.there is not temperature control in this heater....so once you start it it will run continuously so can't be used as overnight heater in your bedroom.so i would suggest, it would be better to go for slightly costly heaters which have temp control and better quality.,as abious amazon delivery service is awesome received this product in 2 days.build - built qiality is amazing dint expect this, metal frame and smooth plastic finish, light weight to carry and portable.the best part i liked about it, it never took time to heat, just switch it on and it started blowing heat and it easily heats the room withing minutes. but bare oin mind it takes 220v power.all i can say is, its the best product in this price. you will not regret buying it.,the heater is effective, easy to use , and very compact. work is good, i like it very much.,av very low quality heater without any temperature control. it burned my switchboard. it keeps drawing current without any control.,great product for the price, considering it has ceramic element.",0,0.5751698077359144,1
"nice product,okay product at cheap price. but very high delivery charges even for prime customers. quality is not great (cheap plastic) but does its purpose.,worth for money.. but it's light weight so only for setop box stabilizers other over weights can't carry,but you cannot put big remote in its pocket,nice product,value for money,super product s,it was sent without screws. disappointed abt that. but overall sturdy. will update. screw size shown in image.",0,0.5058914117649655,1
"3kw huge consumption.rest is ok.and control is only by flow of water so you cannot set temprature and wastage of water is little more,i have been using it since february 2022.here are some points where it failed my expectations.1. the temperature doesn't remains constant not we can set it at a particular temp.2. the water flow is very restricted and takes more than 30 mins to fill the bucket of 15l completelywhere as the geyser we used earlier ( bought from a local shop) could be set at a particular temp as we can adjust in stove. and the water flow was also comparatively more faster than this.,this instant electric water tap is awesome. this tap working properly by this seller. packaging is awame and complete with user manual also. i liked it. must purchase the product from this seller.,very good product as expected,lack of mannual temp control.,,loved it. fine quality,",0,0.6741101287734321,1
